平水韵韵部,声调,词林正韵部,潮汕音韵母,此韵母归此韵的字,同读此韵母但不属此韵的字,韵母匹配度
十二震,去声,第六部,im,亲讱轫韧刃,參参岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦妗浸禁寖噤林淋琳啉霖臨…,5/155
十二震,去声,第六部,in,荩阵晋摈亲衬振赈认龀仞娠引瞵震信榇缙印殡鬓遴磷蜃迅镇讯烬汛进慎搢,箅篦砭匾貶贬便遍瀕濒擯殯臏膑髕髌鬢稟禀摒嗔瞋臣辰宸陳陈晨塵尘…,32/280
十二震,去声,第六部,uam,汎,帆凡釩钒樊礬矾犯氾泛范梵範患,1/15
十二震,去声,第六部,un,瞬骏殉闰浚谆俊馂徇峻润舜允顺,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,14/375
十二震,去声,第六部,urn,瑾殣仅馑觐廑,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋卺巹堇僅槿謹谨饉近劤靳覲均鈞…,6/63
十三问,去声,第六部,eng,拼,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十三问,去声,第六部,ian,员,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
十三问,去声,第六部,in,隐,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,1/279
十三问,去声,第六部,uan,员,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
十三问,去声,第六部,un,粪晕熏运缊愠酝韵蕴皲窘郡忿闻蕰分汶捃训问郓璺奋煴抆紊,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,26/377
十三问,去声,第六部,urn,靳近斤,恩蒽摁根跟哏艮茛痕很狠恨巾觔筋卺巹堇僅仅廑瑾槿謹谨饉馑劤殣覲…,3/62
十三问,去声,第六部,ut,窘,不鈈钚出齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩…,1/114
十四愿,去声,第七部,ian,建券宪怨愿健劝堰献郾键圈远,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,13/582
十四愿,去声,第七部,ok,万,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,1/298
十四愿,去声,第七部,uan,券愿万楦挽绻饭畹圈蔓贩曼,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,12/431
十四愿,去声,第七部,uh,焌腯,哱欻鶻鹘呴窟噗入射吸㰵嘬,2/14
十四愿,去声,第七部,ui,褪,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
十四愿,去声,第七部,un,遁诨钝揾困溷顿嫩寸奔巽敦论噀逊闷喷惛,逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑蠢…,18/377
十四愿,去声,第七部,urn,艮恨,恩蒽摁根跟哏茛痕很狠巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤靳殣…,2/63
十五翰,去声,第七部,ai,岸,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍捭擺摆襬拜敗…,1/355
十五翰,去声,第七部,am,唤,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,1/229
十五翰,去声,第七部,an,滩摊叹汉但旰弹翰璨澜看钻灿按侃疸焊岸惮粲案趱谰晏旦赞散干犴攒悍汗烂斓捍顸瀚难伞炭,安桉氨鞍俺銨铵胺扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办便餐殘残…,40/320
十五翰,去声,第七部,ian,干,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
十五翰,去声,第七部,uan,鹳唤玩缎观算乱窜畔判冠蒜撺馆伴奂换罐幔逭腕胖婉惋爨祼断焕漫叛段墁攒半绊泮贯盥锻谩灌涣,般搬拌柈絆川穿舩船遄椽傳传喘串釧钏汆攛躥蹿鑹镩篡竄皴耑端短塅…,42/427
十五翰,去声,第七部,uann,焊炭,安鞍般搬坂殘残產产丹單单撣掸憚彈番販贩杆肝竿秆桿稈趕赶官倌棺…,2/108
十六谏,去声,第七部,am,羼,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,1/229
十六谏,去声,第七部,an,办扮汕涧讪袒间铲盼裥襻晏疝,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆辦便餐…,13/315
十六谏,去声,第七部,ap,栅,凹插扱鍤锸耷搭嗒褡沓剳答溚瘩呷蓋盖鴿鸽蛤合佮頜颌郃盍盒闔阖圾…,1/124
十六谏,去声,第七部,ian,办苋栈雁赝间瓣绽谏,辦萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨辮辫…,9/582
十六谏,去声,第七部,uam,患,帆凡釩钒樊礬矾犯氾泛汎范梵範,1/15
十六谏,去声,第七部,uan,绾擐篡串轘宦豢慢谩惯幻嫚,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘釧钏汆攛撺躥蹿鑹镩竄窜爨皴…,12/432
十七霰,去声,第七部,ai,嫒,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡𡟓礙碍岸捭擺摆襬拜敗…,1/355
十七霰,去声,第七部,an,单拣,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,2/311
十七霰,去声,第七部,eng,穿瞑拼,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,3/580
十七霰,去声,第七部,iam,念,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,1/214
十七霰,去声,第七部,ian,彦唁嬗蒨研汴绚先善牵媛战填砚𪾢单颤燕弁霰缱练眩嬿涎宴煽院擅炫堰鄯楝遣援靛片甸羡谴淀缮辗电汧泫伣箭卞面变佃扇绢便谳眄链蚬绽阗线倩碾衍县饯畋现殿睊狷奠荐禅邅柬延缠罥茜贱缘膳钿忭煎谚见溅咽,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊遍辨辮辫辯辩變…,91/582
十七霰,去声,第七部,iat,蔑咽,憋徶鱉鳖別别彆癶掣撤徹彻澈抶跌迭耊垤昳瓞耋絰绖鱖鳜虢唧即恝揭…,2/153
十七霰,去声,第七部,in,鄄洊碾,箅篦砭匾貶贬遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,3/268
十七霰,去声,第七部,iu,授,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/326
十七霰,去声,第七部,ng,穿,榜本甭倉仓艙舱長长腸肠川傳瘡疮牀床創创刺邨村當当鐺铛荡盪段塅…,1/160
十七霰,去声,第七部,oinn,趼,班斑板版辦办蠶蚕睇典橂反蓋盖還还肩間间剪揀襇裥繭茧簡简看蓮莲…,1/52
十七霰,去声,第七部,uan,穿钏掾啭撰漩选娈倦眷串馔转恋旋传缘,般搬半伴拌柈絆绊川舩船遄椽傳喘釧汆攛撺躥蹿鑹镩篡竄窜爨皴耑端…,17/433
十七霰,去声,第七部,uann,僆煎,安鞍按案般搬坂半伴殘残產产丹單撣掸旦憚惮彈弹番販贩杆肝竿秆桿…,2/123
十七霰,去声,第七部,un,噀,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑蠢…,1/375
十八啸,去声,第八部,au,少哨,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,2/488
十八啸,去声,第八部,iah,峭,壁璧拆赤糴籴蝶額额屐脊迹跡蹟揭訐讦劇剧掠癖辟僻雀食錫锡席隙歇…,1/47
十八啸,去声,第八部,iak,约皭,杓蘗綽绰菔爵嚼撂掠略淖臬鎳镍虐瘧疟怯卻却雀鵲鹊若弱婼蒻箬篛勺…,2/65
十八啸,去声,第八部,iau,摇眺峤料劭召诏钓啸廖鞘鹞俵嘹裱娆肖少轿粜疗邵照镣尿骠笑茑绕醮峭漂烧跳窍悄耀票饶剽铫曜俏鹩诮妙吊庙掉要婊叫燎獠剿调艞,詏𬣦杓標标膘瀌瘭鏢镖驃飆飙飈飚鑣镳表錶鰾鳔超晁朝嘲潮瘳刁叼汈…,57/414
十八啸,去声,第八部,iu,莜,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/325
十九效,去声,第八部,ak,爆乐,雹暴㩧北剝剥亳博搏駁驳膊戳錯错毒獨独讀读度踱鐸铎恶堊垩鄂惡萼…,2/198
十九效,去声,第八部,au,较孝酵爆拗豹貌罩钞棹泡趵疱淖炮绞闹刨校,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳奡傲奧奥隩嶴岙澳懊鏊…,19/489
十九效,去声,第八部,iak,淖乐,杓蘗綽绰菔皭爵嚼撂掠略臬鎳镍虐瘧疟怯卻却雀鵲鹊若弱婼蒻箬篛勺…,2/65
十九效,去声,第八部,iau,较效敲孝窖酵桡硗胶绞教抓稍校,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,14/414
十九效,去声,第八部,iok,觉,隩畜搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺可克刻氪六陸陆淥渌…,1/147
十九效,去声,第八部,oh,踔,薄舶鉑铂駁驳箔礴觸触掇恶厄呃惡愕㕺閤阁閣鶴鹤駱骆落絡络摞犖荦…,1/73
十九效,去声,第八部,ok,乐,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,1/299
十九效,去声,第八部,ua,抓,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,1/116
二十号,去声,第八部,ak,瀑凿,雹爆㩧北剝剥亳博搏駁驳膊戳錯错毒獨独讀读度踱鐸铎恶堊垩鄂惡萼…,2/198
二十号,去声,第八部,au,报导诰悼操盗冒套到骜抱造帽号好傲芼漕纛蹈躁劳氉祷燠噪奡倒奥暴郜媢旄耗韬缟糙瑁告耄懊膏隩犒澳慥埽靠焘涝,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奧嶴岙鏊驁包苞孢枹…,50/490
二十号,去声,第八部,iau,潦,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/414
二十号,去声,第八部,iok,燠隩,畜搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺觉可克刻氪六陸陆淥渌…,2/147
二十号,去声,第八部,ok,冒纛暴告,白百佰柏雹薄㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴督毒獨独…,4/299
二十一个,去声,第九部,a,大那蹉,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,3/240
二十一个,去声,第九部,ai,大奈个,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,3/355
二十一个,去声,第九部,ak,作,雹暴爆㩧北剝剥亳博搏駁驳膊戳錯错毒獨独讀读度踱鐸铎恶堊垩鄂惡…,1/198
二十一个,去声,第九部,an,瘅,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/320
二十一个,去声,第九部,e,些,嗄扒把爸耙唄呗廁厕叉扠杈茶查差儕侪車车硨砗扯尺爹父華华藉籍加…,1/157
二十一个,去声,第九部,o,佐坷货剁坐磋和懦轲卧锉座簸颇嶓莝挫逻贺课磨裹过左惰糯摩驮唾破髁呵播个饿,阿襖袄薄保寶宝抱報报陂波玻菠跛啵糙曹槽草初鋤锄楚礎础搓矬鹺鹾…,35/384
二十一个,去声,第九部,ok,缚,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,1/298
二十一个,去声,第九部,u,呼,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,1/726
二十一个,去声,第九部,ua,颇,貝贝帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何龢花華华嘩哗鏵铧驊骅化划…,1/110
二十一个,去声,第九部,uan,涴,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/432
二十一个,去声,第九部,ue,货挼,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰…,2/196
二十一个,去声,第九部,ui,蜕,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
二十二祃,去声,第十部,a,娅侘乍坝杈靶罢灞汊诧骂亚衩杷姹霸,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把爸耙罷壩欛吧骲飽饱趵豹礤叉扠餷…,16/239
二十二祃,去声,第十部,an,怕,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/320
二十二祃,去声,第十部,ap,蜡,凹插扱鍤锸耷搭嗒褡沓剳答溚瘩呷蓋盖鴿鸽蛤合佮頜颌郃盍盒闔阖圾…,1/124
二十二祃,去声,第十部,e,麝哑卸藉夜假谢嗄榭泻炙蔗赦舍砑射偌鹧,扒把爸耙唄呗廁厕叉扠茶查差儕侪車车硨砗扯尺爹父華籍加枷家耞袈…,18/145
二十二祃,去声,第十部,ek,藉炙吓笮借,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,5/426
二十二祃,去声,第十部,ia,夏价呀谢暇嫁稼厍驾架迓下讶柘罅,才車车硨砗爹伽籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚價…,15/124
二十二祃,去声,第十部,iah,柘,壁璧拆赤糴籴蝶額额屐脊迹跡蹟揭訐讦劇剧掠癖辟僻峭雀食錫锡席隙…,1/47
二十二祃,去声,第十部,u,埧罅,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,2/726
二十二祃,去声,第十部,ua,华窊话桦化胯跨,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華嘩哗鏵铧驊…,7/116
二十三漾,去声,第二部,ang,亢抗行炕颃怆阆创谤吭宕砀当彷藏脏荡丧葬傥壮汤伉浪傍桁挡,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒蒡稖磅謗崩繃绷甏蹦倉仓蒼苍滄沧艙…,27/521
二十三漾,去声,第二部,eng,行桁,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,2/583
二十三漾,去声,第二部,iak,掠,杓蘗綽绰菔皭爵嚼撂略淖臬鎳镍虐瘧疟怯卻却雀鵲鹊若弱婼蒻箬篛勺…,1/65
二十三漾,去声,第二部,iang,让长杖嶂障仰量张恙唱飏胀仗瘴养谅尚样向炀喨乡上偿怅帐怏涨酱匠将饷相两漾畅鬯酿亮,昌倀伥菖猖娼閶阊鯧鲳長萇苌常徜場场腸肠嘗尝嫦嚐償鱨鲿昶敞廠厂…,39/262
二十三漾,去声,第二部,ionn,怅,鯧鲳長常場场嘗尝嚐償鱨鲿悵創恆恒忌儉俭姜漿浆薑蔣蒋槳桨醬噤梁…,1/105
二十三漾,去声,第二部,ong,盎,幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩冬東东咚氡蝀鼕董…,1/316
二十三漾,去声,第二部,uang,妨桄装访忘放圹望状贶旷妄王广潢防况旺诳舫,牀床噇闖闯方邡坊芳枋鈁钫肪房仿昉倣紡纺訪髣封風风瘋疯觥光洸胱…,20/163
二十四敬,去声,第十一部,ang,行榜绗,骯肮昂邦梆浜幫帮綁绑膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄沧…,3/523
二十四敬,去声,第十一部,eng,圣迸轻竞诤凊命评儆性竟行庆并靓盟请姓净侦正政敬檠郑令炳蜢病更迎邴孟劲晟娉横证柄硬聘镜盛映帧,浜奔栟崩繃绷煸冰兵丙秉餅饼併並噌曾層层蹭嘗尝琤偁稱称撐撑赬赪…,45/583
二十四敬,去声,第十一部,ia,令,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚…,1/137
二十四敬,去声,第十一部,ian,倩,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/579
二十四敬,去声,第十一部,iang,伥映,昌倀菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞廠…,2/261
二十四敬,去声,第十一部,iann,摒,艾搬冰兵丙餅饼併成呈城埕程鼎定訂订錠锭囝件健𩟗𫗚京晶經经精腈…,1/80
二十四敬,去声,第十一部,in,摒,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀嗔瞋臣辰宸陳陈晨…,1/277
二十四敬,去声,第十一部,iong,咏泳,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮…,2/184
二十四敬,去声,第十一部,ueng,横,耿橫衡蘅薨弘宏泓憬傾倾頃顷惸煢茕潁颍穎颖孕幕慢緩賺菅顏攢淵銑…,1/259
二十五径,去声,第十一部,eng,蹬应凌胜听陉罄庭橙径经醒瞑媵暝泞塍靘称饤剩蹭镫泾凝钉磴佞邓瞪定胫孕凳甑刭磬廷证订兴甯锭乘赠,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层嘗尝琤偁稱…,45/584
二十五径,去声,第十一部,ian,奠甸,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,2/581
二十六宥,去声,第十二部,an,瘦,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/320
二十六宥,去声,第十二部,au,贸懋瞀茂袤吼,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,6/468
二十六宥,去声,第十二部,e,炙,嗄扒把爸耙唄呗廁厕叉扠杈茶查差儕侪車车硨砗扯尺爹父華华藉籍加…,1/157
二十六宥,去声,第十二部,ek,炙,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,1/421
二十六宥,去声,第十二部,i,句,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/959
二十六宥,去声,第十二部,iau,廖繇绉皱,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,4/412
二十六宥,去声,第十二部,iok,陆肉畜宿,隩搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺觉可克刻氪六陸淥渌逯…,4/147
二十六宥,去声,第十二部,iu,漱僦守籀酎溜右侑甃琇鞣收绶狃瘤鼬秀犹留柩缪繇臭岫旧售鹫囿救宥袖狖就佑宙寿锈首蹂油皱厩昼兽狩谬究祐又疚灸咒宿馏绣柚授糅,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜稻丟…,58/325
二十六宥,去声,第十二部,iun,糗,復休咻髹庥貅鵂幽攸悠麀朽嗅溴,1/15
二十六宥,去声,第十二部,iunnh,幼,,1/1
二十六宥,去声,第十二部,o,耨,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,1/385
二十六宥,去声,第十二部,ok,族副覆辐缪蔟嗾伏仆渎读复,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊簇蹙蹴纛督毒獨…,12/298
二十六宥,去声,第十二部,ong,贸懋瞀茂袤,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,5/318
二十六宥,去声,第十二部,ou,漱簉鲎遘嗽奏构候豆透陋骤瘦扣鞲厚购冓后走堠逗腠媾彀脰辏漏句逅蔻沤凑觏斗寇窦𫍲诟读,煲哺補补布步部埠踄簿愁廚厨觕湊輳粗醋都唗兜篼抖枓陡蚪鬥痘餖竇…,40/337
二十六宥,去声,第十二部,u,偻副富姆窬仆戊嵝镂,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,9/722
二十七沁,去声,第十三部,am,喑谶谮渗,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,4/228
二十七沁,去声,第十三部,iam,渗,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,1/214
二十七沁,去声,第十三部,im,妊喑沈任沁纴森荫鸩临禁浸揕吟赁衽枕饮噤窨甚恁妗深,參参岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦寖林淋琳啉霖臨凜凛廩廪…,24/158
二十七沁,去声,第十三部,in,恁,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,1/280
二十七沁,去声,第十三部,ou,醅,煲哺補补布步部埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗…,1/338
二十七沁,去声,第十三部,uang,闯,牀床噇闖方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風风瘋疯…,1/164
二十七沁,去声,第十三部,ue,醅,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰…,1/201
二十七沁,去声,第十三部,ui,维,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
二十七沁,去声,第十三部,un,蕈,奔逩賁贲錛锛本苯畚笨飱蟬蝉顫颤舩船舛荈春椿純纯脣淳蒓莼醇鶉鹑…,1/377
二十七沁,去声,第十三部,urn,恁,恩蒽摁根跟哏艮茛痕很狠恨巾斤觔筋卺巹堇僅仅廑瑾槿謹谨饉馑近劤…,1/63
二十八勘,去声,第十四部,am,澹参嵌缆喑探憨唅瞰憾磡錾赣淦担阚滥淡暗三绀啖勘,癌庵盦諳谙闇鵪鹌揞黯叄叁參驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙搀儳…,23/229
二十八勘,去声,第十四部,an,掸,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/317
二十八勘,去声,第十四部,iam,睒暂,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,2/214
二十八勘,去声,第十四部,im,参喑鸩,參岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦妗浸禁寖噤林淋琳啉霖臨临…,3/158
二十九艳,去声,第十四部,an,俺,安桉氨鞍銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办便…,1/320
二十九艳,去声,第十四部,enn,餍,把柄病撐撑瞠蹬庚耕賡赓鶊鹒羹埂哽梗綆绠骾鯁鲠更勁劲菁粳經经井…,1/93
二十九艳,去声,第十四部,iam,店厌潜验酽垫盐玷焱幨髯敛剑僭潋痁念坫觇赡渐殓餍点忝焰欠沾兼苫艳椠闪占滟,覘嬋婵蟬蝉蟾諂谄敁掂踮點惦扂墊簟鞥尖蒹緘缄縑缣殲歼減减碱儉俭…,35/214
二十九艳,去声,第十四部,iap,胁,臿插堞喋牒碟蝶蹀諜谍疊叠浹浃裌夹夾郟郏莢荚袷蛺蛱鋏铗頰颊接劫…,1/129
二十九艳,去声,第十四部,in,砭,箅篦匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,1/280
三十陷,去声,第十四部,am,蘸陷监鉴儳谗阚站忏,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻掺攙…,9/229
三十陷,去声,第十四部,iam,剑淹欠,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,3/214
三十陷,去声,第十四部,uam,氾泛帆汎梵,凡釩钒樊礬矾犯范範患,5/15
三十陷,去声,第十四部,uan,赚,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
一屋,入声,第十五部,ak,瀑𬒈碡,雹爆㩧北剝剥亳博搏駁驳膊戳錯错毒獨讀度踱鐸铎恶堊垩鄂惡萼愕腭…,3/183
一屋,入声,第十五部,ap,肭,凹插扱鍤锸耷搭嗒褡沓剳答溚瘩呷蓋盖鴿鸽蛤合佮頜颌郃盍盒闔阖圾…,1/124
一屋,入声,第十五部,au,毣燠暴澳,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙懊鏊…,4/488
一屋,入声,第十五部,ek,槭恧秃逼,隘白百佰柏薄北愎煏愊碧薜壁璧襞伯帛舶擘蔔冊册側侧策廁厕測测惻…,4/407
一屋,入声,第十五部,iap,倏,臿插堞喋牒碟蝶蹀諜谍疊叠浹浃裌夹夾郟郏莢荚袷蛺蛱鋏铗頰颊接劫…,1/129
一屋,入声,第十五部,iau,朴蓼翛,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,3/414
